time,magnitude,longitude,latitude,depth_km,id,is_synthetic,sample_weight,method,log_energy,datetime,year,rupture_length_km,rupture_width_km,rupture_area_km2,segment_id,avg_slip_m,strike,dip,rake,cv_fold,mag_range
2025-05-08 06:49:29,2.0,28.3527,40.8343,7.1,EQ_000001,0,1.0,real,7.8,2025-05-08 06:49:29,2025,,,,,,,,,6,
2025-05-08 07:24:59,2.0,27.991,40.8373,11.0,EQ_000002,0,1.0,real,7.8,2025-05-08 07:24:59,2025,,,,,,,,,6,
2025-05-08 08:42:04,2.7,28.2773,40.8175,14.9,EQ_000003,0,1.0,real,8.850000000000001,2025-05-08 08:42:04,2025,,,,,,,,,6,
2025-05-08 08:47:13,2.2,27.7572,39.6455,4.9,EQ_000004,0,1.0,real,8.1,2025-05-08 08:47:13,2025,,,,,,,,,6,
2025-05-08 13:10:23,2.2,27.7477,39.6475,8.7,EQ_000005,0,1.0,real,8.1,2025-05-08 13:10:23,2025,,,,,,,,,6,
2025-05-07 00:59:10,2.5,28.1673,40.8282,12.3,EQ_000006,0,1.0,real,8.55,2025-05-07 00:59:10,2025,,,,,,,,,6,
2025-05-07 08:07:28,3.1,28.046,40.7837,12.4,EQ_000007,0,1.0,real,9.45,2025-05-07 08:07:28,2025,,,,,,,,,6,"(3.0, 4.0]"
2025-05-07 10:05:14,2.1,28.405,40.837,20.4,EQ_000008,0,1.0,real,7.95,2025-05-07 10:05:14,2025,,,,,,,,,6,
2025-05-07 10:07:11,2.0,28.4075,40.8165,19.3,EQ_000009,0,1.0,real,7.8,2025-05-07 10:07:11,2025,,,,,,,,,6,
2025-05-07 10:10:46,2.0,28.3905,40.815,20.4,EQ_000010,0,1.0,real,7.8,2025-05-07 10:10:46,2025,,,,,,,,,6,
2025-05-07 12:22:57,3.4,28.3123,40.8322,11.0,EQ_000011,0,1.0,real,9.9,2025-05-07 12:22:57,2025,,,,,,,,,6,"(3.0, 4.0]"
2025-05-07 12:46:05,2.0,28.466,40.818,20.2,EQ_000012,0,1.0,real,7.8,2025-05-07 12:46:05,2025,,,,,,,,,6,
2025-05-07 18:11:51,2.2,28.7927,40.36,6.2,EQ_000013,0,1.0,real,8.1,2025-05-07 18:11:51,2025,,,,,,,,,6,
2025-05-07 19:09:23,2.2,28.2667,40.8392,5.4,EQ_000014,0,1.0,real,8.1,2025-05-07 19:09:23,2025,,,,,,,,,6,
2025-05-07 23:48:54,2.2,28.4015,40.8517,5.0,EQ_000015,0,1.0,real,8.1,2025-05-07 23:48:54,2025,,,,,,,,,6,
2025-05-06 08:16:04,2.4,27.4018,40.2123,11.6,EQ_000016,0,1.0,real,8.399999999999999,2025-05-06 08:16:04,2025,,,,,,,,,6,
2025-05-06 09:23:22,2.1,28.3277,40.83,9.7,EQ_000017,0,1.0,real,7.95,2025-05-06 09:23:22,2025,,,,,,,,,6,
2025-05-06 12:58:37,2.0,28.7972,39.898,0.0,EQ_000018,0,1.0,real,7.8,2025-05-06 12:58:37,2025,,,,,,,,,6,
2025-05-06 19:57:59,2.7,28.1593,40.846,13.3,EQ_000019,0,1.0,real,8.850000000000001,2025-05-06 19:57:59,2025,,,,,,,,,6,
2025-05-05 06:07:32,2.2,28.4053,40.8477,9.5,EQ_000020,0,1.0,real,8.1,2025-05-05 06:07:32,2025,,,,,,,,,6,
2025-05-05 06:22:29,2.0,28.6918,40.8687,5.4,EQ_000021,0,1.0,real,7.8,2025-05-05 06:22:29,2025,,,,,,,,,6,
2025-05-05 14:20:56,2.2,27.0235,40.3297,18.4,EQ_000022,0,1.0,real,8.1,2025-05-05 14:20:56,2025,,,,,,,,,6,
2025-05-04 03:28:21,2.3,28.7275,40.8907,5.4,EQ_000023,0,1.0,real,8.25,2025-05-04 03:28:21,2025,,,,,,,,,6,
2025-05-04 04:31:24,2.2,28.3853,40.8483,11.5,EQ_000024,0,1.0,real,8.1,2025-05-04 04:31:24,2025,,,,,,,,,6,
2025-05-04 07:52:25,2.0,27.4332,40.7888,14.2,EQ_000025,0,1.0,real,7.8,2025-05-04 07:52:25,2025,,,,,,,,,6,
2025-05-04 08:37:57,2.3,28.234,40.8467,11.7,EQ_000026,0,1.0,real,8.25,2025-05-04 08:37:57,2025,,,,,,,,,6,
2025-05-04 10:39:18,2.0,27.5388,40.7062,8.0,EQ_000027,0,1.0,real,7.8,2025-05-04 10:39:18,2025,,,,,,,,,6,
2025-05-04 11:30:51,2.5,28.4432,40.8355,5.0,EQ_000028,0,1.0,real,8.55,2025-05-04 11:30:51,2025,,,,,,,,,6,
2025-05-04 12:10:30,2.1,28.4637,40.8587,5.4,EQ_000029,0,1.0,real,7.95,2025-05-04 12:10:30,2025,,,,,,,,,6,
2025-05-04 19:24:46,2.5,28.3465,40.8408,9.7,EQ_000030,0,1.0,real,8.55,2025-05-04 19:24:46,2025,,,,,,,,,6,
2025-05-03 05:09:25,2.0,27.0068,40.2338,11.7,EQ_000031,0,1.0,real,7.8,2025-05-03 05:09:25,2025,,,,,,,,,6,
2025-05-03 05:23:45,2.3,28.1738,40.8292,5.0,EQ_000032,0,1.0,real,8.25,2025-05-03 05:23:45,2025,,,,,,,,,6,
2025-05-03 11:36:54,4.0,28.1913,40.823,14.7,EQ_000033,0,1.0,real,10.8,2025-05-03 11:36:54,2025,,,,,,,,,6,"(3.0, 4.0]"
2025-05-03 13:07:09,2.9,28.7218,40.8798,6.8,EQ_000034,0,1.0,real,9.15,2025-05-03 13:07:09,2025,,,,,,,,,6,
2025-05-03 13:07:34,2.7,28.8782,40.864,20.1,EQ_000035,0,1.0,real,8.850000000000001,2025-05-03 13:07:34,2025,,,,,,,,,6,
2025-05-03 13:14:09,2.2,28.7478,40.89,15.2,EQ_000036,0,1.0,real,8.1,2025-05-03 13:14:09,2025,,,,,,,,,6,
2025-05-03 15:29:14,2.3,28.8262,40.8263,7.8,EQ_000037,0,1.0,real,8.25,2025-05-03 15:29:14,2025,,,,,,,,,6,
2025-05-03 22:18:11,2.1,28.3978,40.8708,5.4,EQ_000038,0,1.0,real,7.95,2025-05-03 22:18:11,2025,,,,,,,,,6,
2025-05-02 00:59:09,2.5,28.8553,40.837,15.3,EQ_000039,0,1.0,real,8.55,2025-05-02 00:59:09,2025,,,,,,,,,6,
2025-05-02 01:02:12,2.1,28.6335,40.7243,15.0,EQ_000040,0,1.0,real,7.95,2025-05-02 01:02:12,2025,,,,,,,,,6,
2025-05-02 01:13:24,2.0,26.0553,40.4145,15.4,EQ_000041,0,1.0,real,7.8,2025-05-02 01:13:24,2025,,,,,,,,,6,
2025-05-02 01:31:25,2.5,28.621,40.7227,13.4,EQ_000042,0,1.0,real,8.55,2025-05-02 01:31:25,2025,,,,,,,,,6,
2025-05-02 02:57:25,2.3,26.0425,40.4187,10.6,EQ_000043,0,1.0,real,8.25,2025-05-02 02:57:25,2025,,,,,,,,,6,
2025-05-02 05:13:09,2.5,28.3495,40.874,14.6,EQ_000044,0,1.0,real,8.55,2025-05-02 05:13:09,2025,,,,,,,,,6,
2025-05-02 08:36:22,2.3,28.2797,40.8033,7.6,EQ_000045,0,1.0,real,8.25,2025-05-02 08:36:22,2025,,,,,,,,,6,
2025-05-02 11:30:08,3.3,28.8495,40.8307,19.4,EQ_000046,0,1.0,real,9.75,2025-05-02 11:30:08,2025,,,,,,,,,6,"(3.0, 4.0]"
2025-05-02 14:27:42,2.1,28.4442,40.8655,4.2,EQ_000047,0,1.0,real,7.95,2025-05-02 14:27:42,2025,,,,,,,,,6,
2025-05-02 14:34:24,2.1,28.5057,40.8585,18.6,EQ_000048,0,1.0,real,7.95,2025-05-02 14:34:24,2025,,,,,,,,,6,
2025-05-02 23:15:50,2.1,27.0263,40.2338,1.4,EQ_000049,0,1.0,real,7.95,2025-05-02 23:15:50,2025,,,,,,,,,6,
2025-05-01 00:04:59,2.8,28.623,40.7308,3.7,EQ_000050,0,1.0,real,9.0,2025-05-01 00:04:59,2025,,,,,,,,,6,
2025-05-01 00:24:57,2.7,28.48,40.8485,3.1,EQ_000051,0,1.0,real,8.850000000000001,2025-05-01 00:24:57,2025,,,,,,,,,6,
2025-05-01 00:34:45,3.2,28.626,40.724,7.8,EQ_000052,0,1.0,real,9.6,2025-05-01 00:34:45,2025,,,,,,,,,6,"(3.0, 4.0]"
2025-05-01 10:09:08,2.2,27.9552,40.8322,12.1,EQ_000053,0,1.0,real,8.1,2025-05-01 10:09:08,2025,,,,,,,,,6,
2025-05-01 10:34:53,2.0,28.3162,40.8323,5.1,EQ_000054,0,1.0,real,7.8,2025-05-01 10:34:53,2025,,,,,,,,,6,
2025-05-01 19:30:02,2.7,28.4055,40.8468,9.0,EQ_000055,0,1.0,real,8.850000000000001,2025-05-01 19:30:02,2025,,,,,,,,,6,
2025-05-01 19:33:49,2.3,28.3872,40.8472,7.1,EQ_000056,0,1.0,real,8.25,2025-05-01 19:33:49,2025,,,,,,,,,6,
2025-05-01 22:46:44,2.2,27.9727,40.8048,10.5,EQ_000057,0,1.0,real,8.1,2025-05-01 22:46:44,2025,,,,,,,,,6,
2025-04-30 01:36:49,2.8,28.3193,40.848,18.4,EQ_000058,0,1.0,real,9.0,2025-04-30 01:36:49,2025,,,,,,,,,6,
